1553235_at,1553640_at,1554154_at,1555687_a_at,1555888_at,1555962_at,1556228_a_at,1557322_at,1560303_at,1561631_at,1561928_s_at,1564876_s_at,1565306_a_at,1567237_at,1567590_at,1569362_at,201056_at,201489_at,202063_s_at,203080_s_at,203769_s_at,204055_s_at,204648_at,206329_at,206827_s_at,207004_at,207084_at,208819_at,209001_s_at,209475_at,209811_at,210387_at,210956_at,211171_s_at,211445_x_at,212848_s_at,212864_at,213222_at,214857_at,215507_x_at,215636_at,216794_at,216888_at,217142_at,218729_at,219292_at,219495_s_at,220778_x_at,221840_at,221954_at,222020_s_at,223888_s_at,224370_s_at,225013_at,225366_at,226298_at,226573_at,227196_at,227476_at,227618_at,227738_s_at,228757_at,228835_at,228878_s_at,228949_at,230291_s_at,230978_at,231541_s_at,233443_at,233546_at,233871_at,234110_at,234271_at,234972_at,235765_at,235825_at,235934_at,236195_x_at,236849_at,237707_at,237851_at,238023_at,238821_at,239135_at,239657_x_at,239847_at,240849_at,241458_at,241556_at,241771_at,241817_at,242180_at,242306_at,242366_at,242980_at,243283_at,244070_at,244160_at,244626_at,244630_at,51158_at,Class
25.9337,16.0501,26.6223,19.3693,348.389,46.9066,208.287,17.3572,9.46351,5.87575,26.66,30.8496,16.666,14.4447,11.5939,9.10328,124.593,1172.12,26.1066,759.907,45.3096,79.3267,75.6841,20.4793,42.8929,89.928,12.1092,1030.19,1192.5,424.507,62.1404,349.439,14.1594,14.0963,1235.33,50.0412,455.873,84.0705,154.889,47.6118,13.6728,24.0776,57.3035,149.115,188.405,97.1076,55.5407,71.998,1615.39,204.201,13.218,23.9173,4.87403,15.0278,96.6254,234.414,40.0095,8.7238,320.4,409.265,132.308,69.4828,57.3573,28.1806,362.024,6.17059,16.7318,32.0198,47.6245,8.01935,10.6255,6.21841,21.7409,130.38,25.026,19.263,44.1869,53.4097,30.2186,15.4656,43.7535,13.2713,13.1604,1452.97,66.449,7.60035,40.5874,53.4658,47.5834,14.1594,149.711,26.2807,14.9506,366.129,7.14144,13.9628,14.8557,43.9602,9.95157,28.6314,17.535,Control
24.2271,12.9676,29.6124,13.6605,501.399,46.3405,192.36,19.9448,7.32349,6.2181,28.7146,33.6092,14.9023,13.0701,13.0509,8.77178,126.315,913.64,29.1874,1094.11,64.6915,56.5253,97.5138,19.834,56.0367,92.0459,15.1538,1463.4,1376.23,667.978,106.721,340.012,15.8387,12.5176,1248.85,58.1301,444.132,141.464,143.939,45.4128,10.6959,20.6273,50.1428,129.43,251.008,188.788,72.1153,76.7012,1633.87,317.962,13.9766,23.3704,5.34803,18.8362,168.191,260.261,56.3378,10.043,383.871,536.95,130.134,50.578,77.1291,34.9574,346.067,6.25845,16.7705,28.4847,42.9266,8.08435,11.0639,5.80705,25.8141,153.808,26.7099,17.5529,36.6058,55.6821,30.6784,10.8208,44.0051,13.3776,14.8696,2148.52,56.3247,9.99632,49.9113,57.5526,50.9128,16.0066,178.622,31.3669,12.5508,511.599,8.75238,11.3287,17.9237,37.6602,8.94268,29.1707,17.7948,Control
28.9735,18.8055,24.9042,14.1966,310.09,60.0941,205.395,22.4248,8.27557,6.40569,28.0789,43.2321,20.2939,14.1828,12.172,6.00516,122.438,994.43,25.1211,569.077,63.6181,16.2768,112.117,16.9142,64.2969,119.463,17.7407,1516.45,1350.95,530.877,78.2333,162.068,15.502,16.3672,1366.37,64.0732,481.599,100.556,129.873,47.5661,12.6345,19.7844,75.122,130.317,251.954,156.568,53.6383,94.9021,1393.85,287.485,19.6215,25.0883,5.2304,20.5533,153.382,232.108,50.8948,11.3731,345.916,360.877,196.3,50.6844,68.0154,47.9616,340.568,6.86336,22.5004,34.0856,60.774,8.89301,12.3054,5.87301,46.7197,149.237,30.6841,21.0486,52.0014,57.1,22.8962,10.9762,62.4808,16.8443,16.9855,1611.01,92.3419,7.66999,73.04,49.9861,48.605,20.9808,124.562,42.8974,12.6315,475.658,7.53175,11.1258,18.6172,38.9594,9.34557,38.6521,22.2921,Control
30.3344,14.2047,33.7904,14.1938,373.651,36.4747,236.199,20.301,8.16792,5.21151,26.5141,32.758,10.4104,13.5193,12.6743,9.53096,116.651,973.943,26.2096,760.534,57.4726,20.6518,91.0788,15.81,50.963,65.7971,13.7506,1564.8,1224.09,463.816,77.9275,103.035,13.242,11.3674,1150.07,48.831,450.413,99.2915,171.111,39.8503,10.7274,26.8667,51.303,116.889,222.378,145.016,72.3751,66.9538,1489.54,351.704,13.396,25.0989,6.59755,17.8768,130.714,218.506,33.1568,10.7516,307.597,462.583,109.468,57.8574,68.0774,36.9907,324.366,6.21002,13.755,32.7992,37.7482,7.76226,11.1545,6.59755,21.8833,92.2882,24.2557,18.0676,40.6576,62.1253,28.5404,14.1749,41.0749,14.081,15.5142,1417.07,63.1589,13.0574,35.52,48.4074,46.1758,21.3979,160.042,27.0896,13.2347,536.584,7.79163,10.4602,18.6286,30.3527,10.6302,20.9036,20.6845,Control
28.802,17.8638,31.5652,21.8394,304.145,51.4123,211.236,27.365,7.90362,6.41135,27.5891,41.0874,19.2007,14.9246,12.365,7.83947,106.902,1029.25,25.5913,688.492,43.3083,24.7562,107.491,25.4474,70.2073,99.3729,16.7586,1275.37,1472.97,466.101,84.2597,58.6348,16.9936,12.8995,1181.23,58.8008,545.663,114.745,115.17,46.5423,12.1541,20.8827,59.6822,143.945,247.84,176.892,63.9557,93.1845,1419.41,342.441,18.1994,25.3496,5.34821,21.5022,161.867,266.866,60.8968,9.97463,397.312,411.52,161.617,55.2331,64.1359,50.5501,472.168,7.58937,23.2279,29.6847,46.7089,7.34573,14.214,5.98067,43.4817,120.96,22.2663,17.5154,42.0201,66.9153,27.9429,9.01405,60.3301,16.9005,14.8237,1588.13,63.759,7.48842,65.4704,46.9445,55.5802,21.2641,135.444,36.1367,13.325,553.122,8.64815,10.5892,18.4775,47.1703,7.41167,40.3865,21.1597,Control
21.3118,16.2411,49.31,22.1713,466.529,50.1137,252.67,29.1471,7.1301,7.10665,32.6792,27.2277,10.2919,12.8727,9.8299,9.25578,96.446,918.904,32.8116,831.786,59.0385,96.6739,76.7924,19.9221,45.9564,75.7034,11.1386,1474.77,1391.29,700.28,101.04,294.4,11.4328,11.742,1325.4,51.8551,511.94,118.407,128.334,46.7105,15.4759,16.3165,42.0572,111.802,262.036,119.325,79.88,56.5961,1642.39,277.006,12.9074,25.4154,5.67498,15.7513,138.461,209.808,36.8232,10.5194,385.738,603.275,103.348,38.1265,70.9419,26.0187,326.768,6.01841,12.232,28.936,47.954,9.36966,10.6941,6.03534,17.6484,101.494,26.208,20.3784,28.4295,55.8966,36.5346,12.1316,44.1355,13.2807,17.5106,2073.63,52.1732,13.4642,32.6008,79.4845,46.776,16.4092,284.722,21.7076,15.2788,515.62,7.69187,15.2366,14.4025,29.157,7.99699,19.4218,18.6274,Control
30.4723,14.3226,39.8567,16.7122,319.598,64.2635,209.504,20.8785,8.453,5.49948,27.356,28.0552,11.7593,12.9695,11.2943,10.605,124.671,828.104,23.7901,537.98,63.0662,18.7555,93.7525,17.6286,64.4942,82.4769,13.7468,1540.99,1193.74,381.515,84.3829,588.894,12.0572,13.6654,1057.21,64.2494,476.551,99.6788,147.046,38.2634,11.7696,21.9255,54.2307,100.906,256.831,156.944,71.2165,59.8374,1429.96,293.368,8.523,31.4004,5.69491,16.0397,167.532,204.309,37.7131,10.0983,326.186,408.13,84.4569,59.6705,75.793,35.7025,227.169,7.872,18.7883,29.7122,48.2627,11.1305,9.03981,6.57802,9.45017,156.73,19.3058,20.5236,47.3771,86.1357,25.8783,15.8233,43.9891,17.801,16.9618,1320.59,29.8418,8.17814,56.5524,62.0038,44.0114,20.2442,126.429,22.6379,11.2851,416.31,8.11916,10.7493,13.206,40.0993,7.44298,14.9242,18.5882,Control
30.5941,19.6807,28.8816,13.5271,363.095,53.29,148.019,16.2741,7.7118,7.19346,36.3781,47.4846,16.8021,19.5096,13.7226,7.78472,107.523,711.08,21.7928,508.782,46.3988,21.4883,114.912,27.7859,58.7005,108.15,14.8857,1312.26,986.306,454.437,68.762,282.752,16.267,15.1868,1293.22,65.2255,382.459,58.1176,119.633,62.5467,13.1339,25.5969,83.5175,145.866,199.304,85.5746,53.4541,95.6808,933.394,255.219,20.8982,24.2733,5.69491,23.0901,90.9781,119.664,65.742,9.28665,346.116,251.907,187.254,54.3997,54.1966,51.9709,122.618,8.24295,23.0901,30.8346,47.429,6.15532,14.5176,6.94007,43.7182,119.625,38.3597,17.5108,61.0119,64.1623,23.5814,11.1047,67.7952,19.014,9.91746,892.816,98.4534,9.19059,68.3758,56.6715,57.7117,23.2845,136.043,38.1714,16.5353,336.563,10.2772,10.9237,12.3748,49.6835,7.53593,31.5952,26.0095,Control
24.8441,15.4172,28.4735,20.4073,396.705,61.8476,162.608,18.7645,8.18905,5.7392,27.6229,33.9704,21.8603,15.5563,13.0479,8.34158,105.987,971.74,23.8528,696.367,46.8749,28.8981,99.5967,17.9286,57.1266,91.9574,14.1313,1470.93,1156.34,494.934,82.3402,424.925,16.6753,12.5228,1262.64,52.4687,429.199,74.6842,169.152,55.5471,12.3001,18.0605,70.4996,165.939,197.992,155.232,69.8076,87.4901,1536.13,316.183,16.7533,23.803,5.54405,18.6306,159.101,207.977,53.9813,8.85557,341.853,449.048,139.721,59.8728,51.4787,37.7242,231.142,7.07994,20.2129,34.217,44.5158,8.89923,10.4435,6.33935,35.3803,143.946,27.3577,16.4637,38.3107,52.9729,22.0758,9.7697,73.0035,12.244,9.55141,1552.35,66.7388,10.3266,62.5951,56.697,57.6337,16.0271,153.658,31.7561,17.0595,413.137,8.58534,12.0547,17.4478,42.4407,9.61283,33.4365,20.0438,Control
30.3924,20.0207,28.0069,15.5378,258.864,64.5474,156.893,24.4755,8.04628,6.31725,30.0268,48.2144,19.0775,22.8399,16.449,6.88469,96.2579,890.29,23.1701,509.713,49.7556,15.744,125.249,25.7857,53.5751,109.371,16.5471,1211.68,1443.47,389.556,55.2164,149.775,18.6464,12.8148,1291.97,59.2869,405.272,42.9713,133.771,50.6899,12.3395,27.2587,68.4762,140.29,210.078,150.61,50.243,108.953,932.258,277.944,18.1016,25.9074,5.55523,17.9532,109.595,234.101,59.0023,9.97179,249.372,328.422,166.057,66.867,59.6564,48.917,306.252,6.61542,27.6265,37.4036,40.7642,6.55485,10.8388,6.37525,41.2777,137.027,26.9422,17.7818,48.9725,69.6587,26.7411,10.7599,81.1235,16.1481,11.9956,2124.81,85.8326,8.66667,62.5679,45.7484,52.345,21.0121,120.531,39.2914,14.2079,390.261,9.77518,11.2201,16.3691,41.3062,11.9636,42.1262,20.4643,Control
29.2022,11.8192,40.979,14.7469,340.529,49.7631,274.486,22.2895,9.01573,8.38253,35.1586,38.2361,12.1904,14.0178,15.4986,11.5146,134.232,1172.96,28.2027,738.144,80.6491,30.6235,93.3372,20.684,54.6821,102.914,24.1217,1933.38,1189.52,354.378,61.3748,124.328,24.8795,12.4243,1073.29,54.0994,620.677,111.832,109.285,52.8545,8.73623,25.6983,45.1768,92.7907,218.673,110.333,71.8951,71.4431,1729.46,409.475,17.1133,27.9275,6.36316,17.8297,118.902,179.952,50.6064,10.418,319.401,726.336,118.017,49.4213,68.9455,44.5086,311.007,6.8546,17.1947,41.8976,39.0526,13.1761,18.2392,7.20412,16.5684,112.881,22.3281,12.539,35.2503,54.8357,44.0303,20.6071,52.8008,14.1215,13.3863,1350.78,70.4137,9.18414,62.5581,70.1479,54.6658,21.2487,192.003,32.799,15.98,694.335,7.19936,18.8701,17.7912,44.5016,8.04205,37.3057,19.7714,Control
24.8904,13.3046,30.198,15.3375,264.382,66.0951,159.951,18.7826,7.1932,6.58751,29.006,43.111,14.7116,13.4995,14.9205,6.90784,127.127,856.005,20.8698,594.02,52.2562,37.4443,114.695,20.3314,59.2153,99.6917,17.0805,1510.87,1127.2,452.571,71.2828,145.855,16.4511,13.8539,1378.11,66.1131,310.915,54.6591,151.244,46.8034,10.7774,25.8968,51.6816,130.695,205.173,123.255,53.991,86.2798,1250.79,257.09,13.6022,29.267,5.72576,17.1025,116.274,168.432,53.0365,9.53006,317.161,339.628,148.145,53.0869,53.2672,53.2223,95.5046,5.90148,20.1522,28.0867,44.7007,5.78743,11.683,5.34993,36.4552,143.547,26.826,18.4604,41.6872,62.269,29.2129,10.413,62.078,12.5946,14.7417,1195.17,60.8322,7.77504,46.6406,39.6122,52.5304,19.6243,131.962,32.6139,14.1258,349.752,8.90372,17.07,13.8242,49.5079,8.85143,35.5378,17.3042,Control
23.9321,22.0642,45.1169,11.5863,463.752,41.2579,199.279,19.5743,8.03558,6.14435,24.3382,30.1785,18.9957,9.04651,11.8307,8.38091,106.393,843.526,32.2067,767.775,53.9623,42.9866,79.9829,20.9873,59.3046,59.5998,15.5873,1728.46,1167.42,587.241,94.4932,119.209,16.3744,14.3601,931.019,56.4798,516.544,124.381,116.491,44.6016,13.6706,21.5192,44.8086,111.925,197.977,153.026,70.0539,63.8583,1606.94,303.776,11.8142,33.2459,5.89635,19.2813,253.964,228.045,46.7497,7.19549,469.964,457.077,101.384,46.3866,47.542,37.6035,368.217,6.12527,15.7503,30.8936,39.7899,9.57988,9.43279,6.41523,21.4722,140.946,23.3589,17.4878,34.6922,48.4335,34.2748,11.82,58.0939,10.5861,14.855,1517.56,60.4646,8.90827,50.2465,67.6837,47.6423,17.0963,162.322,19.5278,9.80059,578.29,8.39642,12.2079,20.3746,33.5146,9.08294,27.0446,15.4507,Control
26.335,14.874,46.6285,9.74645,579.259,46.1958,255.336,44.9281,8.53234,5.94262,25.9639,27.4209,12.6158,11.5693,8.5417,8.93239,127.258,1212.73,35.6342,1098.24,66.085,72.259,67.0041,19.52,39.5754,87.9255,12.7925,1579.63,1598.29,692.922,136.947,112.156,15.8915,9.15142,1142.26,39.9711,639.536,73.6121,119.646,45.2499,12.6389,25.0716,49.6103,113.744,328.531,140.701,90.9387,68.7204,1882.93,335.367,13.8406,23.4251,6.41673,12.6605,171.024,263.359,48.9092,12.0893,425.533,728.699,116.466,46.1514,65.7488,28.6306,431.472,6.16189,14.4415,28.4674,34.8991,8.4437,11.1535,7.3075,15.824,138.196,25.1548,18.9745,28.6762,51.4986,37.7291,10.9287,44.9639,12.1233,17.512,2296.16,49.3898,11.0697,34.3379,82.1738,39.7815,16.3499,287.32,27.153,13.0438,551.611,8.41543,15.1608,12.9487,32.271,7.57177,26.8879,14.702,Control
25.3753,22.4429,43.1337,13.1797,256.78,48.0016,199.844,24.624,7.7067,6.71321,20.92,33.2123,21.4825,18.2281,13.8844,9.16395,102.476,776.06,32.0893,594.079,55.4214,51.6542,97.9601,17.8808,50.9671,79.8093,16.5619,1104.45,1327.26,501.917,74.948,115.919,16.658,11.5041,1147.71,45.8354,342.823,105.16,182.398,47.8647,11.4043,26.7326,46.5453,110.588,228.672,180.762,107.776,61.6006,1239.03,359.052,15.6775,27.2644,6.18107,18.9156,120.102,239.703,47.7366,9.12378,285.025,382.238,122.844,50.5789,77.5404,41.4478,191.16,5.84541,16.2476,33.7382,34.5522,8.09668,10.0014,6.57556,27.1678,133.627,24.7744,22.3349,47.9184,74.2873,25.79,12.1346,53.0298,15.2318,18.3476,1463.02,56.6719,8.73164,42.8661,67.5096,51.4391,19.7185,120.261,27.61,12.6698,372.271,6.85822,14.6525,13.7813,40.1161,10.016,29.7642,19.752,Control
27.7135,17.5854,34.0469,12.4066,563.092,49.2459,322.014,32.873,7.34801,6.31443,36.7013,34.3703,12.697,11.7983,11.4126,7.82444,135.243,1096.24,29.369,1265.73,87.7434,49.0596,96.7161,18.4493,54.3922,111.462,17.4333,1918.89,1490.26,739.471,107.725,144.366,16.8039,9.92081,1213.36,57.6602,531.042,88.5411,106.664,48.4753,11.408,19.783,58.5203,103.603,287.911,174.307,67.3259,78.4747,1891.65,395.303,14.029,24.9848,5.36105,17.0434,193.321,256.705,57.5589,8.64438,483.118,635.87,149.148,48.9337,66.1526,37.4713,470.05,5.81777,18.8658,28.6419,44.9084,11.7718,10.8913,6.92511,31.0255,126.015,24.4122,18.195,43.687,61.4433,42.3251,11.3561,50.4435,11.4563,13.7702,1791.12,62.4734,11.6557,53.8538,78.8712,52.8753,17.2589,222.106,31.3669,13.8357,610.668,8.39855,11.8163,20.2312,39.8245,10.4146,31.5169,25.3738,Control
