242306_at,244630_at,228878_s_at,1567237_at,244070_at,242366_at,221954_at,211171_s_at,219495_s_at,239657_x_at,244626_at,227196_at,225366_at,1567590_at,201489_at,1561928_s_at,243283_at,1555962_at,237851_at,1553640_at,242980_at,207004_at,228949_at,228757_at,207084_at,234972_at,230978_at,227618_at,211445_x_at,227738_s_at,1564876_s_at,241556_at,241817_at,1555687_a_at,1555888_at,209475_at,1561631_at,204055_s_at,222020_s_at,227476_at,213222_at,204648_at,216794_at,1565306_a_at,221840_at,215636_at,Class
14.9506,28.6314,28.1806,14.4447,14.8557,366.129,204.201,14.0963,55.5407,66.449,9.95157,8.7238,96.6254,11.5939,1172.12,26.66,13.9628,46.9066,43.7535,16.0501,7.14144,89.928,362.024,69.4828,12.1092,130.38,16.7318,409.265,1235.33,132.308,30.8496,47.5834,149.711,19.3693,348.389,424.507,5.87575,79.3267,13.218,320.4,84.0705,75.6841,24.0776,16.666,1615.39,13.6728,Control
12.5508,29.1707,34.9574,13.0701,17.9237,511.599,317.962,12.5176,72.1153,56.3247,8.94268,10.043,168.191,13.0509,913.64,28.7146,11.3287,46.3405,44.0051,12.9676,8.75238,92.0459,346.067,50.578,15.1538,153.808,16.7705,536.95,1248.85,130.134,33.6092,50.9128,178.622,13.6605,501.399,667.978,6.2181,56.5253,13.9766,383.871,141.464,97.5138,20.6273,14.9023,1633.87,10.6959,Control
12.6315,38.6521,47.9616,14.1828,18.6172,475.658,287.485,16.3672,53.6383,92.3419,9.34557,11.3731,153.382,12.172,994.43,28.0789,11.1258,60.0941,62.4808,18.8055,7.53175,119.463,340.568,50.6844,17.7407,149.237,22.5004,360.877,1366.37,196.3,43.2321,48.605,124.562,14.1966,310.09,530.877,6.40569,16.2768,19.6215,345.916,100.556,112.117,19.7844,20.2939,1393.85,12.6345,Control
13.2347,20.9036,36.9907,13.5193,18.6286,536.584,351.704,11.3674,72.3751,63.1589,10.6302,10.7516,130.714,12.6743,973.943,26.5141,10.4602,36.4747,41.0749,14.2047,7.79163,65.7971,324.366,57.8574,13.7506,92.2882,13.755,462.583,1150.07,109.468,32.758,46.1758,160.042,14.1938,373.651,463.816,5.21151,20.6518,13.396,307.597,99.2915,91.0788,26.8667,10.4104,1489.54,10.7274,Control
13.325,40.3865,50.5501,14.9246,18.4775,553.122,342.441,12.8995,63.9557,63.759,7.41167,9.97463,161.867,12.365,1029.25,27.5891,10.5892,51.4123,60.3301,17.8638,8.64815,99.3729,472.168,55.2331,16.7586,120.96,23.2279,411.52,1181.23,161.617,41.0874,55.5802,135.444,21.8394,304.145,466.101,6.41135,24.7562,18.1994,397.312,114.745,107.491,20.8827,19.2007,1419.41,12.1541,Control
15.2788,19.4218,26.0187,12.8727,14.4025,515.62,277.006,11.742,79.88,52.1732,7.99699,10.5194,138.461,9.8299,918.904,32.6792,15.2366,50.1137,44.1355,16.2411,7.69187,75.7034,326.768,38.1265,11.1386,101.494,12.232,603.275,1325.4,103.348,27.2277,46.776,284.722,22.1713,466.529,700.28,7.10665,96.6739,12.9074,385.738,118.407,76.7924,16.3165,10.2919,1642.39,15.4759,Control
11.2851,14.9242,35.7025,12.9695,13.206,416.31,293.368,13.6654,71.2165,29.8418,7.44298,10.0983,167.532,11.2943,828.104,27.356,10.7493,64.2635,43.9891,14.3226,8.11916,82.4769,227.169,59.6705,13.7468,156.73,18.7883,408.13,1057.21,84.4569,28.0552,44.0114,126.429,16.7122,319.598,381.515,5.49948,18.7555,8.523,326.186,99.6788,93.7525,21.9255,11.7593,1429.96,11.7696,Control
16.5353,31.5952,51.9709,19.5096,12.3748,336.563,255.219,15.1868,53.4541,98.4534,7.53593,9.28665,90.9781,13.7226,711.08,36.3781,10.9237,53.29,67.7952,19.6807,10.2772,108.15,122.618,54.3997,14.8857,119.625,23.0901,251.907,1293.22,187.254,47.4846,57.7117,136.043,13.5271,363.095,454.437,7.19346,21.4883,20.8982,346.116,58.1176,114.912,25.5969,16.8021,933.394,13.1339,Control
17.0595,33.4365,37.7242,15.5563,17.4478,413.137,316.183,12.5228,69.8076,66.7388,9.61283,8.85557,159.101,13.0479,971.74,27.6229,12.0547,61.8476,73.0035,15.4172,8.58534,91.9574,231.142,59.8728,14.1313,143.946,20.2129,449.048,1262.64,139.721,33.9704,57.6337,153.658,20.4073,396.705,494.934,5.7392,28.8981,16.7533,341.853,74.6842,99.5967,18.0605,21.8603,1536.13,12.3001,Control
14.2079,42.1262,48.917,22.8399,16.3691,390.261,277.944,12.8148,50.243,85.8326,11.9636,9.97179,109.595,16.449,890.29,30.0268,11.2201,64.5474,81.1235,20.0207,9.77518,109.371,306.252,66.867,16.5471,137.027,27.6265,328.422,1291.97,166.057,48.2144,52.345,120.531,15.5378,258.864,389.556,6.31725,15.744,18.1016,249.372,42.9713,125.249,27.2587,19.0775,932.258,12.3395,Control
15.98,37.3057,44.5086,14.0178,17.7912,694.335,409.475,12.4243,71.8951,70.4137,8.04205,10.418,118.902,15.4986,1172.96,35.1586,18.8701,49.7631,52.8008,11.8192,7.19936,102.914,311.007,49.4213,24.1217,112.881,17.1947,726.336,1073.29,118.017,38.2361,54.6658,192.003,14.7469,340.529,354.378,8.38253,30.6235,17.1133,319.401,111.832,93.3372,25.6983,12.1904,1729.46,8.73623,Control
14.1258,35.5378,53.2223,13.4995,13.8242,349.752,257.09,13.8539,53.991,60.8322,8.85143,9.53006,116.274,14.9205,856.005,29.006,17.07,66.0951,62.078,13.3046,8.90372,99.6917,95.5046,53.0869,17.0805,143.547,20.1522,339.628,1378.11,148.145,43.111,52.5304,131.962,15.3375,264.382,452.571,6.58751,37.4443,13.6022,317.161,54.6591,114.695,25.8968,14.7116,1250.79,10.7774,Control
9.80059,27.0446,37.6035,9.04651,20.3746,578.29,303.776,14.3601,70.0539,60.4646,9.08294,7.19549,253.964,11.8307,843.526,24.3382,12.2079,41.2579,58.0939,22.0642,8.39642,59.5998,368.217,46.3866,15.5873,140.946,15.7503,457.077,931.019,101.384,30.1785,47.6423,162.322,11.5863,463.752,587.241,6.14435,42.9866,11.8142,469.964,124.381,79.9829,21.5192,18.9957,1606.94,13.6706,Control
13.0438,26.8879,28.6306,11.5693,12.9487,551.611,335.367,9.15142,90.9387,49.3898,7.57177,12.0893,171.024,8.5417,1212.73,25.9639,15.1608,46.1958,44.9639,14.874,8.41543,87.9255,431.472,46.1514,12.7925,138.196,14.4415,728.699,1142.26,116.466,27.4209,39.7815,287.32,9.74645,579.259,692.922,5.94262,72.259,13.8406,425.533,73.6121,67.0041,25.0716,12.6158,1882.93,12.6389,Control
12.6698,29.7642,41.4478,18.2281,13.7813,372.271,359.052,11.5041,107.776,56.6719,10.016,9.12378,120.102,13.8844,776.06,20.92,14.6525,48.0016,53.0298,22.4429,6.85822,79.8093,191.16,50.5789,16.5619,133.627,16.2476,382.238,1147.71,122.844,33.2123,51.4391,120.261,13.1797,256.78,501.917,6.71321,51.6542,15.6775,285.025,105.16,97.9601,26.7326,21.4825,1239.03,11.4043,Control
13.8357,31.5169,37.4713,11.7983,20.2312,610.668,395.303,9.92081,67.3259,62.4734,10.4146,8.64438,193.321,11.4126,1096.24,36.7013,11.8163,49.2459,50.4435,17.5854,8.39855,111.462,470.05,48.9337,17.4333,126.015,18.8658,635.87,1213.36,149.148,34.3703,52.8753,222.106,12.4066,563.092,739.471,6.31443,49.0596,14.029,483.118,88.5411,96.7161,19.783,12.697,1891.65,11.408,Control
11.091,32.6145,38.8245,13.1906,19.5369,592.248,370.913,11.2506,60.1577,62.9707,8.68265,11.507,180.622,12.4089,1049.68,22.1929,10.8674,53.5528,63.0135,16.7374,8.12424,92.9322,544.255,44.8293,15.9397,134.095,21.8783,448.79,1161.28,174,30.6328,51.8463,140.146,22.3673,288.369,514.173,6.55049,24.3361,15.6626,431.515,111.804,118.255,19.3277,12.7834,1461.26,12.4406,Control
11.9111,18.4473,25.5045,11.3463,17.1807,433.472,361.442,10.9272,75.1367,56.8727,9.04368,9.29222,186.672,10.5632,1028.2,31.4411,9.41499,45.2578,44.8759,15.5301,9.72475,78.0878,213.321,43.0517,14.8666,145.803,11.9878,355.736,947.801,92.4879,28.9281,51.8778,140.35,13.8754,324.679,403.001,5.68783,24.5609,10.3275,321.15,126.596,101.491,24.1681,9.19461,1435.39,9.98983,Control
14.0106,17.4134,35.1556,14.7892,16.6811,520.008,331.59,12.1086,76.6388,59.5282,8.44761,10.2702,187.585,12.9035,968.971,27.6732,13.7736,43.7043,43.637,20.3123,8.64735,79.5857,567.97,57.5251,12.1368,119.323,15.7214,478.496,964.694,79.1769,34.9554,51.0762,209.686,14.9023,437.447,471.547,6.33088,60.5065,14.2383,406.428,118.875,80.2885,22.6541,10.4151,1520.69,13.6061,Control
12.6962,26.9005,34.5534,13.9662,15.7644,519.093,363.828,12.5697,79.639,59.4838,8.35506,10.1669,129.837,16.9771,1300,31.2901,19.4424,38.5462,62.6021,16.1124,8.15139,84.1095,518.889,47.0329,17.5102,123.39,15.3255,491.371,1021.34,126.442,32.8021,58.7432,145.61,18.3128,386.606,447.041,7.22602,28.9203,14.643,395.055,116.163,90.5606,22.5553,13.0583,1359.36,10.0107,Control
14.088,26.3263,35.0446,11.9131,15.4916,518.289,364.87,10.1037,90.113,71.5692,8.02148,8.4441,165.175,12.3017,1070.46,32.0351,11.2951,43.8478,54.5343,16.1677,8.27335,83.6698,461.15,50.7086,14.2362,159.703,14.3973,557.737,1154.51,124.29,30.3388,54.022,199.628,22.3304,375.989,529.335,6.31359,35.541,14.6335,333.772,130.191,95.5895,21.722,16.9202,1373.51,12.5556,Control
11.9978,30.8859,42.5205,15.8313,18.6225,497.714,418.664,13.1077,59.4721,60.0695,9.76212,8.92702,151.213,10.9487,984.041,29.92,12.1597,40.5796,58.9801,17.9077,9.56916,94.3632,663.913,58.3699,18.6084,141.22,19.9072,493.438,1255.39,149.46,38.3137,58.511,160.755,16.2352,406.913,639.955,6.69699,29.4765,15.1915,383.934,102.178,116.264,24.3795,14.2654,1517.44,12.9952,Control
15.2473,20.4543,32.5339,12.4053,14.8465,682.625,312.659,12.1123,81.6449,56.7084,11.2016,11.0749,186.188,12.1461,1133.92,33.6949,15.4072,44.1168,49.5598,14.7428,8.10374,76.8564,385.25,51.4964,13.8343,99.2573,14.0004,619.577,1093.73,111.285,34.4347,47.7016,184.594,21.1287,460.388,656.944,5.47587,43.1108,14.5545,496.47,113.886,84.0719,21.6101,9.79172,1636.01,12.3474,Control
14.4105,22.1636,28.2821,15.3525,17.7108,502.448,327.295,11.6474,87.5751,67.4054,8.48588,10.0315,146.545,10.2362,1022.78,32.1329,12.1305,57.6338,51.5276,17.6704,7.35902,80.5265,208.64,55.5784,14.1922,89.5261,12.9061,509.227,1068.49,108.409,36.6733,53.3085,175.641,17.3335,455.152,506.572,6.09319,33.6644,14.4511,327.752,166.688,96.9632,22.4429,13.4653,1468.36,9.89216,Control
16.3593,39.11,35.2293,12.4624,17.0416,516.549,389.335,11.5272,52.296,75.5757,10.2282,9.79673,116.457,17.0401,1420.08,27.0963,10.9014,39.562,61.1443,15.8452,8.8599,101.756,221.678,55.6979,15.0113,160.643,16.3633,393.544,983.578,138.821,27.9886,47.9687,136.246,15.3335,186.552,317.939,6.46466,26.5295,15.8414,288.348,140.454,126.229,20.7567,15.0661,1536.99,14.6969,Control
13.7082,22.679,31.4505,12.7756,16.0998,520.013,327.51,14.1263,69.9527,47.5341,8.866,9.62455,115.258,13.8428,1102.31,30.1128,10.306,54.1784,46.1908,12.6497,7.41807,75.7143,365.721,47.8529,16.0121,133.248,18.6029,475.06,1027.85,110.126,31.6178,46.9412,159.517,33.6078,366.034,408.403,6.20582,25.0545,14.9169,326.025,98.4574,77.2138,23.23,13.7833,1321.87,9.3746,Control
14.9283,42.8283,27.2551,12.5405,14.1085,469.063,315.302,16.4329,41.6844,83.3506,10.4304,8.88617,114.224,14.6407,1319.7,25.1854,8.27729,34.3805,88.2451,14.9119,7.85616,114.109,259.874,50.5562,18.0965,86.4871,14.6782,501.587,1119.24,153.675,33.2041,50.2522,173.94,16.3956,341.782,481.498,6.38769,17.938,13.9511,404.011,56.61,99.758,23.5654,16.8498,1736.3,18.9393,Control
15.0871,34.392,33.7498,12.9695,19.7521,426.555,340.685,12.193,55.6546,100.196,8.54439,9.37673,93.4398,18.9308,997.698,26.702,10.9477,49.5018,70.4017,20.2627,9.61679,85.6795,293.287,67.8903,12.0655,130.86,17.4208,373.098,1098.23,124.781,46.1369,54.4146,156.549,12.8582,355.993,332.443,7.11942,17.865,12.4451,337.388,105.211,106.975,24.2027,12.9321,1087.21,12.6707,Control
17.2889,26.3632,31.8737,9.42575,12.2467,304.981,296.533,13.1614,48.2144,72.84,8.64959,8.28645,124.119,16.6182,1135.84,28.6944,11.1902,88.6673,59.9054,18.5949,7.1361,80.3753,240.954,52.6709,16.5131,177.679,17.7141,371.954,1005.86,143.864,31.9056,53.1479,183.782,20.2923,311.695,265.972,6.09073,18.9946,15.2017,266.988,42.6567,119.495,18.6632,12.1844,1219.72,11.3727,Control
12.6705,28.297,33.5704,12.646,13.3009,493.555,351.142,10.6064,68.2119,61.0535,8.9282,9.6241,154.619,10.3764,1085.49,26.9591,11.9576,41.4227,58.9204,16.6659,8.40137,75.3572,183.336,50.3706,14.8099,134.214,15.2224,487.544,1118.18,121.514,29.7882,57.7462,174.375,21.9783,369.806,470.579,6.19277,34.8971,13.3921,284.193,82.7188,97.7428,20.1994,13.9499,1498.48,13.7678,Control
16.6439,29.1074,43.0086,12.6422,17.0045,410.635,246.531,14.9501,83.5683,82.2801,9.57148,10.0399,136.429,9.81079,710.769,26.606,9.66952,60.2698,54.8179,14.2723,6.78174,89.3407,174.822,54.0038,14.9159,138.824,18.7386,326.884,1206.32,162.684,39.7112,47.4559,99.4411,22.7861,257.232,407.931,6.34258,22.7837,12.9618,318.941,89.0571,87.2917,20.5413,14.8073,1149.96,10.4293,Control
12.8524,33.0146,36.8051,14.8751,19.4402,558.986,259.588,13.9321,35.4742,74.9659,11.0202,10.0728,121.35,19.7844,1364.06,24.9499,11.0717,60.6712,58.3789,17.74,10.4006,81.6326,201.206,62.7739,18.005,85.6529,25.0602,368.541,1088.25,111.778,39.0687,38.867,144.423,13.2345,342.309,414.83,7.42716,23.425,17.8932,295.187,88.6106,81.8152,19.3252,12.1023,1525.19,12.1023,Control
15.5735,35.9301,40.6615,13.6765,15.0482,640.573,316.341,12.8127,53.9221,79.4966,9.30801,9.05702,131.27,18.2564,1514.25,27.3273,11.4568,33.9322,75.5094,15.7973,7.84633,113.368,604.805,56.7785,20.7724,128.648,21.375,491.487,1068.66,152.822,42.5123,70.7763,144.59,20.2593,335.349,389.312,8.09456,17.7042,20.2267,424.825,91.888,134.469,24.9672,15.4728,1817.27,15.4894,Control
11.4445,32.8092,28.353,11.0842,12.9232,413.344,263.878,12.3973,76.6501,49.2688,9.56124,7.4824,137.244,14.5186,891.686,33.0052,10.4488,40.0209,59.1695,14.7943,10.0432,84.9499,339.952,48.5401,14.938,145.96,15.8883,394.657,914.495,116.798,36.2519,47.3241,176.944,18.4465,277.367,596.609,5.42691,20.3807,15.1287,346.126,95.0411,85.077,20.4388,10.3498,1123.43,13.5171,Control
16.9009,31.7847,42.4528,13.8314,17.1909,670.937,388.259,12.4326,59.331,56.3812,8.02336,9.63003,149.361,15.338,998.59,30.7501,8.08373,36.8761,65.8021,15.4979,8.5491,114.402,528.09,52.4114,17.2745,104.182,16.3423,447.251,1191.14,160.367,32.7377,63.8896,136.602,14.5603,220.58,387.883,6.51117,20.4875,17.6,403.592,101.99,121.208,17.9119,14.1933,1289.33,10.7363,Control
14.0289,35.4718,38.094,12.457,17.4516,331.027,215.242,12.6425,62.9425,51.285,9.06585,9.42891,139.887,12.4049,1034.91,32.1727,12.6691,48.9279,54.0144,16.3275,8.91779,103.658,95.8539,49.6608,13.9599,140.428,22.3244,291.874,1086.32,140.393,36.3924,55.5849,129.942,16.0381,210.729,390.396,6.49484,36.6303,17.0181,235.752,93.393,91.0496,19.6494,12.2642,1067.8,11.505,Control
12.2441,35.5019,41.9582,20.4967,15.0854,403.536,315.722,18.7379,51.4153,114.795,8.78724,9.77028,120.079,14.9967,680.801,30.3322,13.4997,56.4279,78.1351,17.3258,12.409,128.193,361.785,59.6516,14.0131,99.3525,20.621,276.2,1175.64,181.443,46.1955,66.7638,95.4091,17.6179,241.274,693.115,7.80123,15.549,16.1688,323.12,82.153,101.677,26.8544,16.0341,799.577,12.0694,Control
12.9782,31.3376,42.6399,14.2024,13.8123,425.283,230.354,13.8755,56.5854,62.3619,9.2634,9.26424,116.668,11.8334,686.995,30.242,13.4888,42.9878,61.4946,15.1313,9.05839,84.8699,89.0495,65.1584,17.2635,123.027,15.584,446.978,1251.66,170.867,36.4096,58.9253,131.529,15.5138,448.165,471.863,6.65072,40.0067,15.5713,314.957,91.9986,97.976,20.7533,16.0988,1394.16,13.5937,Control
13.9886,39.6952,45.5253,15.8233,12.2586,411.744,262.659,14.1591,44.8941,80.3982,10.0187,8.88538,132.576,15.7579,1369.97,40.3585,11.7534,41.6048,63.3669,13.4148,12.1297,108.303,566.434,42.5601,16.8941,159.191,11.3002,451.695,1096.24,130.668,45.4068,64.5042,139.777,14.5162,281.41,397.746,6.6273,16.9131,11.9396,351.419,106.411,102.188,18.3499,12.9191,1361.21,13.2027,Control
13.6535,29.321,28.1654,14.3794,15.1431,642.416,436.693,11.7459,74.0634,67.5015,9.17441,10.924,193.369,13.4585,1110.7,41.3184,10.9874,43.9469,44.6998,14.4527,7.89965,74.4361,733.033,55.2807,11.9,137.895,16.7582,628.212,1102.06,105.63,33.8953,45.6805,200.793,12.7093,466.502,655.774,5.96719,52.0457,16.5984,462.574,126.258,78.1397,20.227,14.5963,1599.07,11.3072,Control
11.7306,28.8701,33.6017,13.3584,13.6437,522.32,353.138,13.9594,70.7857,64.9789,6.91868,9.99554,152.686,11.7574,1135.3,32.5817,11.7597,68.1971,59.5326,14.0223,6.82958,83.4544,489.19,56.1873,16.674,129.491,17.3818,425.59,1049.23,129.741,33.9386,60.6162,161.025,17.1972,441.398,423.266,6.27775,23.5368,15.6553,342.61,82.0517,90.777,23.7364,12.2071,1119.14,13.3343,Control
11.3277,29.7772,35.2808,11.2541,11.8042,538.71,350.754,13.2277,70.2487,62.3271,8.46732,9.32646,198.464,11.2952,980.048,30.4766,14.0187,55.6639,50.9006,14.2106,7.90772,89.0894,340.906,49.31,17.5541,159.18,17.4334,488.282,1129.42,141.516,35.8805,59.9494,179.536,14.7339,476.817,694.082,5.67677,65.4843,13.7862,426.325,131.722,106.664,19.6825,16.8569,1636.57,8.76952,Control
11.5024,19.3113,33.4324,12.2686,15.5839,463.638,321.354,11.8297,90.7161,58.3186,9.01812,11.9978,165.318,10.2124,1048.65,30.3116,13.1994,30.2577,43.7042,16.536,8.55868,81.4609,177.402,48.0399,11.8304,138.433,9.67188,379.926,1092.9,87.6643,27.9865,55.814,180.438,21.214,318.594,552.685,7.21514,61.4417,12.7866,372.119,126.601,91.3001,24.1286,14.1997,1535.27,11.2896,Control
15.0368,40.3747,36.6397,17.2178,17.9756,424.332,233.084,14.9753,52.2561,77.5206,9.27607,9.21661,124.919,13.6144,835.845,32.8945,14.1067,39.1923,53.5895,19.7475,7.40452,134.75,121.56,61.0816,17.1524,143.696,25.2203,445.822,1143.43,204.768,36.3601,56.6502,153.467,18.1133,359.889,537.387,6.19356,58.2363,19.5728,356.12,54.8413,101.951,34.5777,16.0933,1705.28,15.6138,Control
9.47772,22.4285,27.2977,12.9561,15.993,546.911,385.057,11.7229,80.5456,49.1082,8.17517,10.8913,153.186,15.6133,1272.52,33.8447,12.6859,45.1555,47.6009,17.4092,8.69272,99.7707,406.107,63.1269,17.3214,150.059,17.1376,398.226,1113.13,114.991,23.9564,59.4802,142.936,23.7163,283.017,360.242,6.55402,21.8031,20.9258,342.873,120.064,100.721,31.2761,12.998,1356.66,10.8486,Control
12.5373,34.8506,37.6973,14.0357,17.8719,388.303,207.827,14.5922,25.2422,82.2857,8.40569,8.55467,121.89,16.4318,1041.34,35.8047,7.98052,46.289,69.2952,18.9596,10.5606,86.4124,286.496,54.4895,21.4934,132.675,23.632,389.612,1154.11,176.722,41.3573,55.1038,85.489,14.572,225.697,313.632,6.3593,9.37316,15.6291,308.326,52.9325,125.513,32.7239,16.5384,1391.96,15.9204,Control
12.6698,25.543,32.1727,10.8311,12.1781,518.227,466.29,9.99194,90.5303,51.9577,10.0542,8.5093,176.249,13.2002,1361.5,30.2873,10.5144,46.285,43.3529,16.8743,10.7823,82.9434,401.923,59.4001,14.097,136.947,15.6853,610.554,939.497,118.446,28.2487,50.3063,242.558,14.5871,421.665,508.118,5.29385,29.4956,15.6445,425.049,82.9711,81.619,32.1329,10.1643,1935.49,9.59031,Control
12.8883,27.3722,33.0784,13.1569,13.6126,398.07,329.05,11.8194,73.7178,53.186,8.85207,10.5013,167.717,12.8675,1114.58,31.7842,15.4372,37.3286,49.4929,14.3134,7.6125,86.4469,299.367,49.3286,13.5588,164.363,18.2323,411.892,1135.31,111.786,28.6932,50.777,159.786,29.5642,405.045,494.964,5.91327,37.7545,14.169,299.75,107.616,89.9763,22.8277,12.9609,1333.25,10.2617,Control
13.2494,35.0379,39.6725,15.7044,16.3063,482.341,328.653,13.4176,61.8184,65.0644,8.64982,12.918,117.605,11.4839,1157.55,32.1112,11.8989,48.9628,54.7861,17.5053,7.62221,95.4878,408.228,52.6296,15.4218,164.923,17.2859,504.108,1228.52,156.821,30.9913,49.115,179.72,21.5471,436.515,512.88,6.88363,33.5825,15.3421,367.671,140.738,104.378,22.4828,19.5673,1324.6,10.6783,Control
13.7671,35.1105,44.7311,17.4697,16.0672,471.823,243.57,12.6791,57.1067,85.6591,9.81305,8.07969,137.75,13.6363,741.719,28.7937,9.2345,65.5587,78.3106,19.0885,9.42259,100.181,125.514,52.7738,18.95,147.073,16.0148,314.202,1288.43,161.932,44.3505,50.1461,115.006,12.8964,214.156,336.648,7.06606,19.0328,15.2775,311.933,95.1194,114.915,30.0936,22.3295,1362.83,11.7007,Autism
14.1049,39.9151,46.2346,22.6812,22.6877,429.652,355.308,17.0353,46.7391,113.642,9.0035,10.6681,97.2935,13.756,1051.89,32.0267,10.401,67.6043,57.5673,22.2331,8.41939,116.561,215.807,71.4267,16.6972,182.926,25.2282,464.06,1212.55,151.932,48.3979,58.3654,198.004,16.6896,469.755,534.926,6.48372,21.7548,17.7068,287.155,72.1601,115.395,31.7598,17.3008,1357.44,12.9642,Autism
